ID,Category,Type,Model,Serial_Number,Status,Location,Qty_On_Hand,Qty_On_Order,Reorder_Level
A-IHZH,Attachment,Initial Load,Rake 19,N/A,Available,Warehouse,14,0,2
A-VPOZ,Attachment,Initial Load,Rake 23,N/A,Available,Warehouse,6,0,2
A-9PWW,Attachment,Initial Load,Bucket 40,N/A,Available,Warehouse,21,0,2
A-CTKF,Attachment,Initial Load,Bucket 8,N/A,Available,Warehouse,21,0,2
A-KTCI,Attachment,Initial Load,Ripper ,N/A,Available,Warehouse,21,0,2
A-OG15,Attachment,Initial Load,Forks,N/A,Available,Warehouse,4,0,2
A-ZX3G,Attachment,Initial Load,Auger 12,N/A,Available,Warehouse,12,0,2
A-BVJT,Attachment,Initial Load,Auger 8,N/A,Available,Warehouse,10,0,2
A-PCM8,Attachment,Initial Load,25x Auger 12,N/A,Available,Warehouse,2,0,2
A-MCB4,Attachment,Initial Load,25x Auger 8,N/A,Available,Warehouse,2,0,2
A-N912,Attachment,Initial Load,25x Bucket 47,N/A,Available,Warehouse,3,0,2
A-M5MI,Attachment,Initial Load,25X Bucket 10,N/A,Available,Warehouse,7,0,2
A-6PCX,Attachment,Initial Load,Stump Grinder ,N/A,Available,Warehouse,5,0,2
A-9O8T,Attachment,Initial Load,Hedge Trimmers,N/A,Available,Warehouse,2,0,2
20251208016,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208003,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208019,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208017,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208022,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208008,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208024,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208015,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208023,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208021,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208014,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208018,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208013,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208001,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208020,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208025,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208004,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208002,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208006,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208012,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208009,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208007,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208005,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208011,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208085,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208081,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251208083,Machine,Initial Load,18X,N/A,Available,Warehouse,1,0,2
20251105014,Machine,Initial Load,22X,N/A,Available,Warehouse,1,0,2
20251105012,Machine,Initial Load,22X,N/A,Available,Warehouse,1,0,2
20251105013,Machine,Initial Load,22X,N/A,Available,Warehouse,1,0,2
20251105015,Machine,Initial Load,22X,N/A,Available,Warehouse,1,0,2
20251106010,Machine,Initial Load,25X,N/A,Available,Warehouse,1,0,2
20251106012,Machine,Initial Load,25X,N/A,Available,Warehouse,1,0,2
20251106014,Machine,Initial Load,25X,N/A,Available,Warehouse,1,0,2
20251106013,Machine,Initial Load,25X,N/A,Available,Warehouse,1,0,2
20251104005,Machine,Initial Load,40X,N/A,Available,Warehouse,1,0,2
20251024005,Machine,Initial Load,12X,N/A,Available,Warehouse,1,0,2
20251024006,Machine,Initial Load,12X,N/A,Available,Warehouse,1,0,2
202510012,Machine,Initial Load,1100X,N/A,Available,Warehouse,1,0,2
1100X-PENDING-1,Machine,Initial Load,1100X,N/A,Available,Warehouse,1,0,2
1100X-PENDING-2,Machine,Initial Load,1100X,N/A,Available,Warehouse,1,0,2
1100X-PENDING-3,Machine,Initial Load,1100X,N/A,Available,Warehouse,1,0,2
1100X-PENDING-4,Machine,Initial Load,1100X,N/A,Available,Warehouse,1,0,2





