Timestamp,Asset_ID,Action,Details
2026-02-18 17:02:59,A-CMHD,BULK_POPULATE,Initial setup: 27 x 18X
2026-02-18 17:03:28,A-FU8Y,BULK_POPULATE,Initial setup: 4 x 25X
2026-02-18 17:04:00,A-AMSW,BULK_POPULATE,Initial setup: 4 x 22X
2026-02-18 17:04:07,A-IU4K,BULK_POPULATE,Initial setup: 1 x 40X
2026-02-18 17:04:18,A-FKFA,BULK_POPULATE,Initial setup: 5 x 1100X
2026-02-18 17:04:47,A-W6N9,BULK_POPULATE,Initial setup: 1 x 1200X
2026-02-18 17:06:10,A-WC5Y,BULK_POPULATE,Initial setup: done x 
2026-02-18 17:26:43,A-IHZH,BULK_POPULATE,Initial setup: 14 x Rake 19
2026-02-18 17:27:17,A-VPOZ,BULK_POPULATE,Initial setup: 6 x Rake 23
2026-02-18 17:29:35,A-9PWW,BULK_POPULATE,Initial setup: 21 x Bucket 40
2026-02-18 17:30:47,A-CTKF,BULK_POPULATE,Initial setup: 21 x Bucket 8
2026-02-18 17:32:44,A-KTCI,BULK_POPULATE,Initial setup: 21 x Ripper 
2026-02-18 17:32:58,A-OG15,BULK_POPULATE,Initial setup: 4 x Forks
2026-02-18 17:33:47,A-ZX3G,BULK_POPULATE,Initial setup: 12 x Auger 12
2026-02-18 17:34:12,A-BVJT,BULK_POPULATE,Initial setup: 10 x Auger 8
2026-02-18 17:34:40,A-PCM8,BULK_POPULATE,Initial setup: 2 x 25x Auger 12
2026-02-18 17:34:53,A-MCB4,BULK_POPULATE,Initial setup: 2 x 25x Auger 8
2026-02-18 17:36:09,A-N912,BULK_POPULATE,Initial setup: 3 x 25x Bucket 47
2026-02-18 17:37:00,A-M5MI,BULK_POPULATE,Initial setup: 7 x 25X Bucket 10
2026-02-18 17:37:17,A-6PCX,BULK_POPULATE,Initial setup: 5 x Stump Grinder 
2026-02-18 17:38:42,A-9O8T,BULK_POPULATE,Initial setup: 2 x Hedge Trimmers
2026-02-18 18:14:08,M-AN9D,BULK_POPULATE,Initial setup: 27 x 18X
2026-02-18 18:14:54,M-VETS,BULK_POPULATE,Initial setup: 4 x 22X
2026-02-18 18:15:03,M-WITJ,BULK_POPULATE,Initial setup: 4 x 25X
2026-02-18 18:15:08,M-3HI5,BULK_POPULATE,Initial setup: 1 x 40X
2026-02-18 18:15:12,M-DQ93,BULK_POPULATE,Initial setup: 2 x 12X
2026-02-18 18:15:21,M-B5TP,BULK_POPULATE,Initial setup: 5 x 1100
2026-02-18 18:15:29,M-9PA1,BULK_POPULATE,Initial setup: 1 x 1200X
